TIME,DATE,@ActExtTorque6,@ActConsumpPower
11:45:50,20200822,20.32,22.3
11:46:01,20200822,20.32,21.5
11:46:11,20200822,20.11,20.1
11:46:26,20200822,19.94,19.4
11:46:36,20200822,20.41,18.6
11:46:46,20200822,20.45,17.3
11:47:02,20200822,20.32,16.7
11:47:12,20200822,20.24,15.9
11:47:22,20200822,20.24,15.3
11:47:37,20200822,20.11,15.0
11:47:48,20200822,20.07,14.9
11:48:03,20200822,20.07,14.8
11:48:13,20200822,19.9,15.3
11:48:23,20200822,19.82,15.3
11:48:38,20200822,19.94,16.0
11:48:49,20200822,20.11,16.8
11:48:59,20200822,20.2,17.7
11:49:14,20200822,20.15,19.3
11:49:24,20200822,20.11,20.4
11:49:40,20200822,19.94,21.4
11:49:50,20200822,20.15,22.8
11:50:00,20200822,20.57,22.6
11:50:15,20200822,20.41,22.6
11:50:25,20200822,20.45,22.3
11:50:40,20200822,20.36,21.8
11:50:51,20200822,20.28,20.6
11:51:01,20200822,20.36,19.5
11:51:16,20200822,20.24,18.6
11:51:26,20200822,19.99,17.0
11:51:36,20200822,20.11,16.2
11:51:52,20200822,20.7,15.1
11:52:02,20200822,20.41,14.8
11:52:12,20200822,20.45,14.8
11:52:27,20200822,20.15,14.8
11:52:38,20200822,20.36,14.9
11:52:53,20200822,20.07,15.6
11:53:03,20200822,20.24,16.7
11:53:13,20200822,20.32,18.4
11:53:28,20200822,20.15,19.1
11:53:39,20200822,20.24,19.9
11:53:54,20200822,20.15,21.0
11:54:04,20200822,20.36,21.5
11:54:19,20200822,20.24,21.2
11:54:29,20200822,20.36,21.6
11:54:40,20200822,20.07,21.3
11:54:55,20200822,20.15,20.4
11:55:05,20200822,20.07,19.9
11:55:15,20200822,20.2,19.7
11:55:30,20200822,19.99,18.4
11:55:41,20200822,19.99,17.8
11:55:51,20200822,19.9,16.9
11:56:06,20200822,20.11,16.1
11:56:16,20200822,19.99,15.4
11:56:26,20200822,19.99,14.7
11:56:42,20200822,19.9,14.5
11:56:52,20200822,20.07,14.2
11:57:07,20200822,19.69,14.2
11:57:17,20200822,19.86,14.4
11:57:27,20200822,19.9,14.9
11:57:42,20200822,20.15,15.4
11:57:52,20200822,20.03,16.0
11:58:07,20200822,20.49,16.5
11:58:18,20200822,20.32,17.2
11:58:33,20200822,20.2,17.7
11:58:43,20200822,20.28,18.8
11:58:53,20200822,20.2,20.0
11:59:08,20200822,19.94,20.7
11:59:19,20200822,20.28,21.2
11:59:29,20200822,20.2,21.8
11:59:44,20200822,20.28,22.8
11:59:54,20200822,19.94,22.7
12:00:10,20200822,20.07,23.0
12:00:20,20200822,20.32,21.7
12:00:30,20200822,20.2,20.8
12:00:45,20200822,20.2,19.4
12:00:56,20200822,20.28,18.3
12:01:06,20200822,20.2,17.0
12:01:21,20200822,20.24,16.1
12:01:31,20200822,20.15,15.4
12:01:46,20200822,20.07,15.5
12:01:57,20200822,20.07,15.2
12:02:07,20200822,19.74,15.9
12:02:22,20200822,20.45,16.7
12:02:32,20200822,20.49,17.6
12:02:43,20200822,20.62,18.5
12:02:58,20200822,20.74,18.2
12:03:08,20200822,20.24,18.1
12:03:18,20200822,20.28,17.9
12:03:33,20200822,20.24,17.7
12:03:43,20200822,20.49,17.6
12:03:53,20200822,20.24,17.4
12:04:09,20200822,20.36,17.0
12:04:19,20200822,20.24,17.2
12:04:34,20200822,20.2,17.3
12:04:44,20200822,20.49,17.0
12:05:00,20200822,20.24,16.9
12:05:10,20200822,19.9,17.3
12:05:20,20200822,20.15,17.3
12:05:35,20200822,20.07,17.9
12:05:46,20200822,20.24,18.1
12:05:56,20200822,20.24,17.8
12:06:11,20200822,19.86,18.5
12:06:21,20200822,19.9,18.9
12:06:31,20200822,20.07,19.6
12:06:46,20200822,20.07,20.0
12:06:56,20200822,20.15,20.4
12:07:12,20200822,19.86,21.3
12:07:22,20200822,20.2,21.6
12:07:32,20200822,20.2,21.3
12:07:47,20200822,20.11,21.8
12:07:57,20200822,20.28,20.9
12:08:13,20200822,20.32,19.6
